Coluna;;CNAE 2.0 Div
UF;Ano;Fabricação de Produtos Alimentícios;Fabricação de Bebidas;Fabricação de Produtos do Fumo;Fabricação de Produtos Têxteis;Confecção de Artigos do Vestuário e Acessórios;Preparação de Couros e Fabricação de Artefatos de Couro, Artigos para Viagem e Calçados;Fabricação de Produtos de Madeira;Fabricação de Celulose, Papel e Produtos de Papel;Impressão e Reprodução de Gravações;Fabricação de Coque, de Produtos Derivados do Petróleo e de Biocombustíveis;Fabricação de Produtos Químicos;Fabricação de Produtos Farmoquímicos e Farmacêuticos;Fabricação de Produtos de Borracha e de Material Plástico;Fabricação de Produtos de Minerais Não-Metálicos;Metalurgia;Fabricação de Produtos de Metal, Exceto Máquinas e Equipamentos;Fabricação de Equipamentos de Informática, Produtos Eletrônicos e Ópticos;Fabricação de Máquinas, Aparelhos e Materiais Elétricos;Fabricação de Máquinas e Equipamentos;Fabricação de Veículos Automotores, Reboques e Carrocerias;Fabricação de Outros Equipamentos de Transporte, Exceto Veículos Automotores;Fabricação de Móveis;Fabricação de Produtos Diversos;Manutenção, Reparação e Instalação de Máquinas e Equipamentos;Total
11 - Rondônia;Total;5657;299;14;311;1927;228;6650;182;1327;78;443;51;608;2563;290;2364;49;107;232;677;111;1778;1170;1521;28637
;2019;459;23;0;18;133;16;333;11;94;2;35;3;44;214;17;207;3;5;13;53;7;113;132;171;2106
;2018;476;21;0;20;141;16;371;12;98;3;34;3;43;216;20;210;0;11;18;57;9;134;137;167;2217
;2017;486;19;0;24;143;15;428;15;111;6;32;3;46;218;21;220;4;11;14;61;11;151;140;164;2343
;2016;498;21;1;30;151;16;474;13;107;7;40;3;52;244;15;223;2;10;18;62;11;153;138;163;2452
;2015;471;19;1;27;164;17;490;14;110;6;36;2;58;220;18;224;3;8;25;62;9;165;122;151;2422
;2014;457;19;1;32;168;17;517;11;120;7;41;4;53;212;21;228;4;5;24;62;12;170;99;140;2424
;2013;437;20;1;25;171;18;528;11;111;5;36;4;53;209;26;208;1;6;17;59;11;164;96;126;2343
;2012;424;24;1;23;166;16;529;11;100;7;37;5;54;203;23;192;2;9;17;53;10;140;76;106;2228
;2011;428;23;1;27;169;15;545;18;104;6;37;5;48;192;24;172;3;9;18;50;6;138;68;94;2200
;2010;424;30;2;27;143;18;580;18;101;7;36;6;40;183;27;140;6;7;17;44;5;116;50;78;2105
;2009;370;31;2;21;135;19;597;13;102;7;34;4;37;162;26;122;6;9;11;41;8;103;49;56;1965
;2008;362;27;2;19;129;22;615;17;86;8;24;5;40;153;29;113;6;8;19;37;5;109;35;58;1928
;2007;365;22;2;18;114;23;643;18;83;7;21;4;40;137;23;105;9;9;21;36;7;122;28;47;1904
