Coluna;;CNAE 2.0 Div
UF;Ano;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;FABRICAÇÃO DE BEBIDAS;FABRICAÇÃO DE PRODUTOS DO FUMO;FABRICAÇÃO DE PRODUTOS TÊXTEIS;CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS;PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS;FABRICAÇÃO DE PRODUTOS DE MADEIRA;FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL;IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES;FABRICAÇÃO DE COQUE, DE PRODUTOS DERIVADOS DO PETRÓLEO E DE BIOCOMBUSTÍVEIS;FABRICAÇÃO DE PRODUTOS QUÍMICOS;FABRICAÇÃO DE PRODUTOS FARMOQUÍMICOS E FARMACÊUTICOS;FABRICAÇÃO DE PRODUTOS DE BORRACHA E DE MATERIAL PLÁSTICO;FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO-METÁLICOS;METALURGIA;FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS;FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS;FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS;FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS;FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES;FABRICAÇÃO DE MÓVEIS;FABRICAÇÃO DE PRODUTOS DIVERSOS;MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS;Total
11 - Rondônia;Total;260705996,29;22229746,07;186018,299999997;1006961,78999999;11859458,6500001;12201430,58;91973232,4000001;1814989,78000002;6713504,81000006;2987284,15;3913553,70999998;301490,090000006;7286909,25000003;44775939,12;7144527,65999999;15237250,4200001;98063,3500000038;907803,100000018;8772260,94999992;6301804,82;5647687,15999992;15450903,9100001;5784324,93000005;6832020,36000008;540133161,650001
;2019;34377607,8500002;1733026,09999997;0;67277,1700000009;1184052,71000001;1586410,76000001;6646173,02000003;87403,150000006;766587,899999993;231359,310000012;407749,979999994;13623,7099999981;763700,57999998;3908351,75;726426,590000015;1729051,45999998;12055,5899999999;174513,490000002;181726,840000028;619443,870000008;711171,149999976;1466242,29000001;786923,64999999;1062919,82000002;59243798,7400002
;2018;33564317,8400001;1899637,83000005;0;67719,8900000006;1184360,40000002;1465830,01;7453966,16000007;81229,1299999971;711013,64000001;202795,310000004;355433,210000001;48503,4899999988;807132,400000024;3755896,18000006;878175,599999958;1649313,98999999;0;91210,579999995;410725,109999985;630279,249999988;740499,610000001;1573022,53000001;671905,130000006;893459,600000006;59136426,8900003
;2017;31931153,1200001;1988377,22000004;0;69084,3599999966;1143671,26000001;1266459,89999998;7413970,69000004;123904,760000001;716101,640000013;231960,070000006;316105,209999985;31540,370000001;819067,55000001;3924459,38999995;864319,319999988;1677434,70000003;7155,85000000242;110358,440000005;480378,519999985;612794,48000002;764825,500000019;1569279,37999998;587164,610000008;849650,600000029;57499216,9400002
;2016;24579353,69;2153550,54000001;11881,5400000005;80774,6899999948;1125996,25000003;1380976,86000002;7603136,22000001;140047,850000001;684725,959999995;277022,24000001;348290,100000006;26896,0899999999;758250,650000018;4130688,19;569664,329999999;1589646,60000001;3714,12000000011;207783,469999999;408197,36000001;635110,010000001;599695,059999995;1577887,47000003;556916,360000004;641933,480000023;50092139,1300002
;2015;22991519,44;2138185,71000001;5650,95000000158;87417,9699999951;1069862,07000001;1195639,34;8407540,40999999;259034,289999996;676360,309999995;264393,99000001;288241,570000002;21887,8099999996;723840,169999979;4576494,26999999;632579,410000028;1637405,41000004;3416,41999999993;144045,940000005;1064798,99999991;679709,799999997;632094,809999978;1516190,96000002;658298,150000012;567880,419999993;50242488,62
;2014;21759852,9;1853006,37;3526,23999999836;124171,049999998;1106258,41000001;1042135,04000003;8719504,91000004;182979,059999994;577900,580000001;276993,859999998;307103,649999992;26526,4400000004;606855,129999998;4715648,31999998;588768,850000012;1486876,28000003;4131,31000000052;14871,7100000009;1328319,88000005;617756,249999992;684673,349999983;1465794,57999998;627135,260000008;542602,990000026;48663392,4200002
;2013;19627513,9599999;1802725,52999998;8080,40999999642;113059,699999998;1083421,11;1087442,72999995;7767200,55999991;168955,960000013;526782,53000001;254314,86;326670,05999999;30537,3000000007;543897,96000001;4896527,10999997;610125,480000006;1080176,62000002;3162,20000000112;11627,2700000014;1220486,71999994;520352,439999998;660006,879999985;1327738,04000002;715032,550000008;495097,589999985;44880935,5699997
;2012;17389477,98;1647072,11;51723,9100000001;97973,8199999966;937298,700000008;795595,789999979;6908928,78000003;143600,090000005;470164,350000008;232319,119999983;369120,760000029;21611,7800000003;492419,640000004;4224867,60999995;563116,160000009;1021756,51;2103,79999999981;7596,2600000021;1177191,62;522801,589999993;376278,899999992;1228619,12000001;404217,439999999;636143,229999991;39721999,07
;2011;13719043,3699999;1731314,89999998;36317,9999999986;86827,340000005;854023,16;567817,170000007;6428498,32999997;112107,339999994;356698,41000001;275308,059999992;377339,269999991;14558,6600000011;484647,030000004;3373951,43000003;508765,56999997;989228,440000005;2400,04999999981;15146,910000002;1054797,87;468397,379999995;189350,159999996;1075199,05;306240,840000008;431060,619999996;33459039,3599999
