uf;ano;nom_cnaediv.x;nom_cnaediv;cod_cnaediv;empresa;emprego;Massa Salarial;salario;rlv;rlv_def;mass_sal_def;salario_def;tam_empr;pr;ql;hhm;empresa_norm1;emprego_norm;rlv_def_norm;mass_sal_def_norm;salario_def_norm;tam_empr_norm;pr_norm;ql_norm;hhm_norm
Rondônia;2019;fabrica_o_de_produtos_aliment_cios;Fabricação de produtos alimentícios;10;459;18546;34377607.85;1853.640022;8635745;8635744.453;34377605.65;1853.640;40.40522876;0.01;1.58074912;0.004;-1.190;-1.881;-1.408;-1.315;0.064;0.012;0.000;0.001;0.000
Rondônia;2019;fabrica_o_de_bebidas;Fabricação de bebidas;11;23;976;1733026.1;1775.641496;237971;237970.9849;1733025.989;1775.641382;42.43478261;0.01;1.093710718;0.001;-0.081;-0.164;-0.307;-0.171;-0.497;0.000;0.000;0.000;0.000
Rondônia;2019;fabrica_o_de_produtos_do_fumo;Fabricação de produtos do fumo;12;0;0;0;0;0;0;0;0;0;0.00;0;-0.007;-0.006;-0.015;-0.050;-0.022;-1.367;-0.026;0.000;-0.001;0.000
Rondônia;2019;fabrica_o_de_produtos_t_xteis;Fabricação de produtos têxteis;13;18;50;67277.17;1345.5434;3272;3271.999793;67277.1657;1345.543314;2.777777778;0.00;0.02716804;-0.007;-0.295;-0.430;-0.166;-0.271;-0.189;-0.017;0.000;-0.001;0.000
Rondônia;2019;confec_o_de_artigos_do_vestu_rio_e_acess_rios;Confecção de artigos do vestuário e acessórios;14;133;975;1184052.71;1214.413036;29694;29693.99812;1184052.634;1214.412958;7.330827068;0.00;0.24681269;-0.006;-1.306;-0.882;-0.167;-0.418;-0.082;-0.003;0.000;-0.001;0.000
Rondônia;2019;prepara_o_de_couros_e_fabrica_o_de_artefatos_de_couro_artigos_para_viagem_e_cal_ados;Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados;15;16;807;1586410.76;1965.81259;108721;108720.9931;1586410.659;1965.812464;50.4375;0.00;0.343472092;-0.005;-0.296;-0.514;-0.118;-0.236;0.406;0.010;0.000;-0.001;0.000
Rondônia;2019;fabrica_o_de_produtos_de_madeira;Fabricação de produtos de madeira;16;333;4478;6646173.02;1484.183345;359653;359652.9772;6646172.595;1484.18325;13.44744745;0.03;3.911516437;0.022;-0.109;-0.058;-0.062;-0.060;-0.111;0.003;0.000;0.003;0.000
Rondônia;2019;fabrica_o_de_celulose_papel_e_produtos_de_papel;Fabricação de celulose, papel e produtos de papel;17;11;61;87403.15;1432.838525;7314;7313.999537;87403.14441;1432.838433;5.545454545;0.00;0.047834417;-0.007;-0.124;-0.297;-0.356;-0.306;-0.953;-0.027;0.000;-0.001;0.000
Rondônia;2019;impress_o_e_reprodu_o_de_grava_es;Impressão e reprodução de gravações;18;94;506;766587.9;1514.99585;28642;28641.99819;766587.851;1514.995753;5.382978723;0.01;0.717735218;-0.002;-0.314;-0.142;-0.050;-0.108;-0.243;-0.001;0.000;0.000;0.000
Rondônia;2019;fabrica_o_de_coque_de_produtos_derivados_do_petr_leo_e_de_biocombust_veis;Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis;19;2;102;231359.31;2268.228529;123395;123394.9922;231359.2952;2268.228384;51;0.00;0.094212862;-0.007;-0.016;-0.249;-1.166;-0.457;-2.458;-0.198;0.000;-0.001;0.000
Rondônia;2019;fabrica_o_de_produtos_qu_micos;Fabricação de produtos químicos;20;35;244;407749.98;1671.106475;47725;47724.99698;407749.9539;1671.106369;6.971428571;0.00;0.122696089;-0.007;-0.252;-0.455;-1.137;-0.611;-1.153;-0.015;0.000;0.000;0.000
Rondônia;2019;fabrica_o_de_produtos_farmoqu_micos_e_farmac_uticos;Fabricação de produtos farmoquímicos e farmacêuticos;21;3;11;13623.71;1238.519091;0;0;13623.70913;1238.519012;3.666666667;0.00;0.014083752;-0.007;-0.020;-0.183;-0.222;-0.329;-1.147;-0.074;0.000;0.000;0.000
Rondônia;2019;fabrica_o_de_produtos_de_borracha_e_de_material_pl_stico;Fabricação de produtos de borracha e de material plástico;22;44;503;763700.58;1518.291412;121306;121305.9923;763700.5312;1518.291314;11.43181818;0.00;0.169566637;-0.006;-0.393;-0.673;-0.400;-0.543;-0.395;-0.012;0.000;0.000;0.000
Rondônia;2019;fabrica_o_de_produtos_de_minerais_n_o_met_licos;Fabricação de produtos de minerais não-metálicos;23;214;2454;3908351.75;1592.645375;205490;205489.987;3908351.5;1592.645273;11.46728972;0.01;0.935145299;0.000;-0.634;-0.501;-0.267;-0.367;-0.256;-0.002;0.000;0.000;0.000
